make,model,year_of_manufacture,color,condition,mileage,engine_size,registered_city,selling_condition,bought_condition,transmission_system
Lexus,RX 350,2010,White,Local Used,187058,3500,LAGOS,Registered,Registered,Automatic
Lexus,LS,2009,Blue,Local Used,90117,4600,N/A,Registered,Registered,Automatic
Honda,Accord,2005,Gray,Local Used,335366,2400,N/A,Registered,Imported,Automatic
Toyota,Camry,2003,Black,Local Used,236553,2400,N/A,Registered,Registered,Automatic
Honda,Accord,2018,Black,Foreign Used,233761,1500,N/A,Imported,Imported,CVT
Toyota,Camry,2005,Silver,Local Used,179422,2400,Lagos,Registered,Imported,Automatic
Ford,Edge,2014,Red,Local Used,237776,3500,N/A,Registered,Imported,Automatic
Infiniti,FX35,2009,Black,Local Used,158919,3500,Abuja,Registered,Registered,Automatic
Mercedes-Benz,E350,2013,White,Local Used,212745,3500,Abuja,Registered,Registered,Automatic
Ford,Flex,2009,Blue,Local Used,318712,3500,LAGOS,Registered,Imported,Automatic
Toyota,Corolla,2004,Gold,Local Used,280663,1800,EDO,Registered,Registered,Automatic
Toyota,Solara,2009,Black,Local Used,175122,3300,000,Registered,Imported,Automatic
Audi,Q7,2008,Black,Local Used,303498,3600,LAGOS,Registered,Imported,Automatic
Toyota,Camry,2005,Gray,Local Used,309184,2400,Lagos,Registered,Imported,Automatic
Honda,Ridgeline,2006,Black,Local Used,190226,3500,Abuja,Registered,Registered,Automatic
Lexus,RX 350,2010,Black,Local Used,109097,3500,N/A,Registered,Imported,Automatic
Nissan,Pathfinder,2013,Gray,Foreign Used,18520,3500,N/A,Imported,Imported,Automatic
Toyota,Camry,2010,Silver,Local Used,106763,2500,LAGOS,Registered,Registered,Automatic
Toyota,Matrix,2005,Blue,Local Used,99999,1800,LAGOS,Registered,Registered,Automatic
Lexus,RX 350,2008,Blue,Local Used,243568,3500,N/A,Registered,Registered,Automatic
Toyota,Camry,2007,Black,Local Used,180184,2400,KWARA,Registered,Registered,Automatic
Toyota,Corolla,2006,Blue,Local Used,359811,1800,LAGOS,Registered,Registered,Automatic
Hyundai,Santa Fe,2013,Black,Local Used,64757,2500,N/A,Registered,Registered,Automatic
Toyota,Highlander,2003,Silver,Local Used,241467,3000,ABUJA,Registered,Registered,Automatic
Toyota,Camry,2008,Black,Local Used,46814,2400,Lagos,Registered,Registered,Automatic
Toyota,Corolla Verso,2004,Silver,Local Used,183355,1800,Lagos,Registered,Registered,AMT
Ford,Edge,2008,Blue,Local Used,237041,3500,LAGOS,Registered,Imported,Automatic
Toyota,Highlander,2021,Black,Foreign Used,61855,3500,N/A,Imported,Brand new,Automatic
Lexus,IS,2006,Black,Local Used,309628,2500,LAGOS,Registered,Imported,Automatic
Toyota,Sienna,2004,Gray,Local Used,581795,3500,Kaduna,Registered,Imported,Automatic
Peugeot,407,2006,Black,Local Used,227144,1800,ENUGU,Registered,Registered,Manual
Toyota,Corolla,2011,Black,Local Used,260422,N/A,LAGOS,Registered,Brand new,Manual
Toyota,Camry,1998,Gray,Local Used,350000,2200,ENUGU,Registered,Registered,Automatic
Mercedes-Benz,GL-Class,2013,White,Foreign Used,180752,4600,N/A,Imported,Imported,Automatic
Ford,Escape,2008,Gray,Local Used,262840,3300,N/A,Registered,Imported,Automatic
Lexus,ES,2006,Gray,Local Used,172835,3500,ABUJA,Registered,Registered,Automatic
Toyota,Highlander,2017,Burgandy,Foreign Used,61613,3500,N/A,Imported,Imported,Automatic
Lexus,ES,2006,Silver,Local Used,196191,3500,LAGOS,Registered,Imported,Automatic
Mazda,323,1999,Burgandy,Local Used,N/A,1500,N/A,Registered,Registered,Manual
Toyota,Venza,2011,Red,Foreign Used,128502,N/A,N/A,Imported,Imported,Automatic
Lexus,RX 350,2007,Blue,Local Used,217064,3500,N/A,Registered,Registered,Automatic
Toyota,Highlander,2005,Silver,Local Used,203776,3300,LAGOS,Registered,Imported,Automatic
Honda,CR-V,2001,Green,Local Used,130723,N/A,Lagos,Registered,Registered,Automatic
Honda,Accord,2007,Blue,Local Used,70404,3000,Lagos,Registered,Imported,Automatic
Acura,RL,2005,Gray,Local Used,N/A,3500,N/A,Registered,Imported,Automatic
Toyota,Matrix,2012,Red,Local Used,193195,N/A,N/A,Registered,Registered,Automatic
Acura,MDX,2002,Silver,Local Used,271738,3500,Lagos,Registered,Imported,Automatic
Mazda,Tribute,2004,Black,Local Used,293670,3000,DELTA,Registered,Imported,Automatic
Ford,Taurus,2011,Black,Local Used,181517,3500,LAGOS,Registered,Registered,Automatic
Land Rover,Range Rover Sport,2021,Black,Foreign Used,31521,3000,N/A,Imported,Imported,CVT
Toyota,Land Cruiser,2013,Black,Local Used,91014,5700,Lagos,Registered,Brand new,Automatic
Toyota,Highlander,2004,Gray,Local Used,132255,3300,N/A,Registered,Imported,Automatic
Toyota,Sienna,2001,Green,Local Used,122913,3800,LAGOS,Registered,Registered,Automatic
Toyota,RAV4,2010,Silver,Local Used,307338,3500,LAGOS,Registered,Imported,Automatic
Honda,Accord,2004,Gray,Local Used,68887,2400,LAGOS,Registered,Registered,Automatic
Hyundai,Elantra,2007,Gold,Local Used,200769,2000,Lagos,Registered,Imported,Automatic
Lexus,ES,2008,White,Local Used,258617,3500,N/A,Registered,Registered,Automatic
Toyota,Matrix,2004,Blue,Local Used,202519,1800,LAGOS,Registered,Registered,Automatic
Lexus,GX,2006,White,Local Used,196463,4700,LAGOS,Registered,Imported,Automatic
Toyota,Corolla,2003,Blue,Local Used,463848,1800,ABUJA,Registered,Imported,Automatic
Chevrolet,Captiva,2014,Red,Local Used,149591,2500,N/A,Registered,Imported,Automatic
Acura,TL,2012,Black,Local Used,N/A,3500,LAGOS,Registered,Imported,Automatic
Nissan,Rogue,2010,White,Local Used,247671,2800,LAGOS,Registered,Registered,Automatic
Honda,Accord,2011,Red,Local Used,73932,2400,ABUJA,Registered,Registered,Automatic
Hyundai,Accent,2014,Black,Local Used,259918,1400,N/A,Registered,Registered,Manual
Nissan,Versa,2007,Blue,Local Used,186991,1800,N/A,Registered,Imported,Automatic
Ford,Edge,2013,Black,Local Used,97873,3500,Lagos,Registered,Imported,Automatic
Toyota,Corolla,2015,Gray,Local Used,213438,1800,N/A,Registered,Registered,Automatic
Honda,Pilot,2014,White,Local Used,141055,3500,Kano,Registered,Brand new,Automatic
Hyundai,Sonata,2015,Gray,Foreign Used,182727,2400,N/A,Imported,Imported,Automatic
Honda,CR-V,2007,Black,Local Used,146619,2400,N/A,Registered,Registered,Automatic
Toyota,HiAce,1996,White,Local Used,142118,3000,LAGOS,Registered,Imported,Manual
Toyota,Sienna,2005,Silver,Foreign Used,120896,3300,N/A,Imported,Imported,Automatic
Honda,Accord,2014,Black,Local Used,72974,2400,Lagos,Registered,Brand new,Automatic
Ford,Edge,2008,Black,Local Used,132093,3500,N/A,Registered,Imported,Automatic
Ford,Explorer,2013,Gray,Local Used,167854,3500,N/A,Registered,Registered,Automatic
Land Rover,Range Rover Sport,2015,Black,Local Used,78183,3000,N/A,Registered,Imported,Automatic
Honda,Accord Crosstour,2013,Black,Foreign Used,191401,2400,N/A,Imported,Imported,Automatic
Honda,Pilot,2005,Black,Local Used,239315,3000,N/A,Registered,Imported,Automatic
Toyota,Camry,2007,Silver,Local Used,410890,2400,LAGOS,Registered,Imported,Automatic
Land Rover,Range Rover Sport,2010,Gray,Local Used,294876,4500,LAGOS,Registered,Registered,Automatic
Hyundai,Starex,2009,Yellow,Local Used,126701,2500,LAGOS,Registered,Registered,Automatic
Toyota,Venza,2010,Silver,Local Used,94150,3500,ABUJA,Registered,Imported,Automatic
Toyota,Camry,2012,Silver,Foreign Used,58639,3500,N/A,Imported,Imported,Automatic
Honda,Accord,2005,Black,Local Used,181708,2400,AKWA IBOM,Registered,Registered,Automatic
Toyota,RAV4,2006,Blue,Local Used,146732,3600,LAGOS,Registered,Imported,Automatic
Toyota,Camry,2003,Black,Local Used,152455,2400,LAGOS,Registered,Imported,Automatic
Toyota,Corolla,2008,Blue,Local Used,206206,1800,Lagos,Registered,Imported,Automatic
Toyota,Camry,2019,Red,Foreign Used,88887,2500,N/A,Imported,Imported,Automatic
Toyota,Highlander,2003,Silver,Local Used,240431,3000,Abuja,Registered,Imported,Automatic
Toyota,Corolla,2003,Gold,Local Used,328107,1600,N/A,Registered,Registered,Automatic
Land Rover,Range Rover Sport,2012,Green,Foreign Used,156242,5000,N/A,Imported,Imported,Automatic
Toyota,Sequoia,2004,Burgandy,Local Used,263461,4800,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2016,Red,Local Used,103213,1800,N/A,Registered,Imported,Automatic
Toyota,Highlander,2004,Red,Local Used,119788,2400,N/A,Registered,Imported,Automatic
Toyota,Corolla,2009,Black,Local Used,164463,1800,Abuja,Registered,Registered,Automatic
Lexus,ES,2002,Green,Local Used,172266,3300,ABUJA,Registered,Registered,Automatic
Honda,Accord,2016,Black,Local Used,154858,3500,ABUJA,Registered,Imported,Automatic
Honda,Civic,2008,Silver,Local Used,169687,1800,LAGOS,Registered,Registered,Automatic
Hyundai,Elantra,2010,Black,Local Used,110675,1600,N/A,Registered,Registered,Automatic
Land Rover,Range Rover Evoque,2014,White,Local Used,108234,2000,ABUJA,Registered,Registered,CVT
Honda,Pilot,2007,Burgandy,Local Used,261475,3500,Lagos,Registered,Imported,Automatic
Lexus,RX,1998,Silver,Local Used,436873,3000,LAGOS,Registered,Imported,Automatic
Toyota,Yaris,2008,Gray,Local Used,296703,1500,Abuja,Registered,Registered,Automatic
Toyota,Land Cruiser Prado,2012,Black,Local Used,89935,2700,Lagos,Registered,Brand new,Automatic
Ford,Edge,2008,Gray,Local Used,119532,3500,N/A,Registered,Imported,Automatic
Toyota,Highlander,2010,Black,Local Used,124846,3500,LAGOS,Registered,Imported,Automatic
Toyota,Camry,2008,Black,Local Used,134543,3500,N/A,Registered,Registered,Automatic
Toyota,Sequoia,2005,Black,Local Used,264201,4800,LAGOS,Registered,Registered,Automatic
Nissan,Maxima,2014,White,Local Used,143996,3500,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2010,Silver,Foreign Used,236709,1800,N/A,Imported,Imported,Automatic
Toyota,Avalon,2006,Silver,Local Used,136540,3500,LAGOS,Registered,Registered,Automatic
Lexus,LX,2009,Black,Local Used,126278,5700,N/A,Registered,Registered,Automatic
Honda,Accord,2009,Blue,Local Used,179858,2400,LAGOS,Registered,Imported,Automatic
Acura,MDX,2001,Silver,Local Used,328098,3500,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2009,Green,Local Used,91378,1800,N/A,Registered,Registered,Automatic
Toyota,RAV4,2007,Black,Local Used,314051,3500,N/A,Registered,Registered,Automatic
Ford,Edge,2011,White,Local Used,172315,3700,N/A,Registered,Registered,Automatic
Lexus,RX,2005,Burgandy,Local Used,154951,3300,N/A,Registered,Registered,Automatic
Volkswagen,Tiguan,2012,Gray,Local Used,245577,2000,N/A,Registered,Registered,Automatic
Nissan,Pathfinder,2005,Black,Local Used,251951,4000,N/A,Registered,Registered,Automatic
Honda,Accord,2012,Black,Local Used,102632,3500,N/A,Registered,Registered,Automatic
Honda,Accord,2006,Gray,Local Used,217862,3000,N/A,Registered,Registered,Automatic
Kia,Optima,2009,Gray,Local Used,249331,2000,N/A,Registered,Imported,Automatic
Honda,Pilot,2015,Gray,Local Used,183673,3500,N/A,Registered,Imported,Automatic
Toyota,Camry,2007,Gray,Local Used,299141,2400,Lagos,Registered,Registered,Automatic
