make,model,year_of_manufacture,color,condition,mileage,engine_size,registered_city,selling_condition,bought_condition,transmission_system
Toyota,Camry,2009,Gold,Local Used,118305,2400,LAGOS,Registered,Imported,Automatic
Lexus,GX,2014,Gray,Local Used,73561,4600,ABUJA,Registered,Imported,Automatic
Volvo,XC90,2003,Blue,Local Used,403764,2900,Ondo,Registered,Registered,Automatic
Lexus,RX 350,2014,Gray,Local Used,62301,3500,Abuja,Registered,Imported,Automatic
Toyota,Camry,2008,Red,Local Used,124695,2400,EDO,Registered,Registered,Automatic
Toyota,Corolla,2005,Silver,Local Used,172040,1800,ABUJA,Registered,Imported,Automatic
Lexus,RX 300,2001,Blue,Local Used,233144,3000,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2012,Gray,Foreign Used,307913,2500,N/A,Imported,Imported,Automatic
Honda,Pilot,2004,Gray,Local Used,337563,3500,Abuja,Registered,Registered,Automatic
Toyota,Sienna,2006,Gray,Local Used,144103,3300,LAGOS,Registered,Imported,Automatic
Honda,Accord,2003,Black,Local Used,537978,2400,OGUN,Registered,Registered,Automatic
Honda,Accord,2018,Black,Local Used,49739,1500,N/A,Registered,Imported,Automatic
Toyota,RAV4,2007,Silver,Local Used,352181,3500,N/A,Registered,Registered,Automatic
Renault,Kangoo,2001,Blue,Local Used,100000,1200,Lagos,Registered,Imported,Manual
Toyota,Sienna,2004,Gray,Local Used,526077,N/A,Abuja,Registered,Registered,Automatic
Lexus,ES,2002,Gray,Local Used,123401,3500,N/A,Registered,Registered,Automatic
Toyota,Camry,2007,Blue,Local Used,271077,2500,Lagos,Registered,Registered,Automatic
Toyota,Camry,2007,Gray,Local Used,192874,N/A,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2007,Red,Local Used,365579,2400,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2007,Gold,Local Used,113156,3500,Lagos,Registered,Registered,Automatic
Toyota,Highlander,2018,Gray,Local Used,31147,3500,N/A,Registered,Imported,Automatic
Toyota,Corolla,2003,Black,Local Used,221748,1800,N/A,Registered,Imported,Automatic
Peugeot,407,2010,Black,Local Used,720735,1800,N/A,Registered,Registered,Automatic
Peugeot,RC,2011,White,Foreign Used,135789,2000,N/A,Imported,Imported,Manual
Mercedes-Benz,GLS-Class,2020,White,Foreign Used,27651,3000,N/A,Imported,Imported,Automatic
Toyota,Corolla,2017,Black,Local Used,21822,2000,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2002,Silver,Local Used,403316,2400,N/A,Registered,Registered,Automatic
Kia,Cerato,2011,Black,Local Used,99999,1600,Lagos,Registered,Registered,Manual
Toyota,Corolla,2005,Black,Local Used,276665,1800,KADUNA,Registered,Imported,Automatic
Toyota,Camry,2012,Gray,Local Used,164625,3500,N/A,Registered,Registered,Automatic
Infiniti,Q60,2015,Gray,Foreign Used,268154,3500,N/A,Imported,Imported,Automatic
Ford,Edge,2008,Gray,Local Used,367833,3500,Lagos,Registered,Registered,Automatic
Mercedes-Benz,C180,2005,Blue,Local Used,293034,1800,EDO,Registered,Imported,Manual
Toyota,4-Runner,2003,Gray,Local Used,20285,4700,LAGOS,Registered,Imported,Automatic
Nissan,Almera,1998,Green,Local Used,302329,1400,OGUN,Registered,Registered,Manual
Mercedes-Benz,E350,2014,Brown,Local Used,121440,3500,LAGOS,Registered,Imported,Automatic
Mitsubishi,Pajero,2016,Black,Local Used,83800,3500,Lagos,Registered,Imported,Automatic
Hyundai,Elantra,2017,Gray,Foreign Used,208840,2000,N/A,Imported,Imported,Automatic
Toyota,Highlander,2018,Silver,Foreign Used,77539,3500,N/A,Imported,Imported,Automatic
Honda,Pilot,2011,Silver,Foreign Used,256139,3500,N/A,Imported,Imported,Automatic
Toyota,Corolla,2003,Black,Local Used,299999,1800,LAGOS,Registered,Registered,Automatic
Mercedes-Benz,E350,2010,Black,Local Used,230580,3500,N/A,Registered,Registered,Automatic
Honda,Accord,2005,Gold,Local Used,232645,3000,N/A,Registered,Imported,Automatic
Toyota,Camry,2005,Green,Local Used,116224,2400,Lagos,Registered,Registered,Automatic
Kia,Rio,2008,White,Local Used,169196,1400,Lagos,Registered,Brand new,Automatic
Lexus,RX 330,2005,Blue,Local Used,196667,3300,ABUJA,Registered,Imported,Automatic
Lexus,GS,2006,Blue,Local Used,311288,3000,N/A,Registered,Imported,Automatic
Mercedes-Benz,C230,2007,Silver,Local Used,298387,2500,ABUJA,Registered,Registered,Automatic
Mitsubishi,Pajero,2008,Black,Local Used,136433,3500,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2020,Black,Foreign Used,64125,2500,N/A,Imported,Imported,Automatic
Toyota,Camry,2011,Red,Local Used,342483,2500,Abuja,Registered,Imported,Automatic
Dodge,RAM,2011,Silver,Local Used,216221,4000,LAGOS,Registered,Imported,Automatic
Toyota,Camry,2007,Blue,Local Used,452885,2400,Lagos State,Registered,Imported,Automatic
Toyota,RAV4,2002,Gold,Local Used,255082,2000,LAGOS,Registered,Registered,Automatic
Hyundai,Sonata,2013,Black,Foreign Used,223199,2400,N/A,Imported,Imported,Automatic
Toyota,Camry,2010,Red,Local Used,167311,2500,LAGOS,Registered,Imported,Automatic
Mercedes-Benz,GLE-Class,2020,White,Foreign Used,62208,2200,N/A,Imported,Imported,Automatic
Toyota,Hilux,2013,White,Local Used,93632,3000,LAGOS,Registered,Brand new,Manual
Infiniti,G35,2006,Gray,Local Used,258440,3500,Abuja,Registered,Registered,Automatic
Toyota,Highlander,2005,Silver,Local Used,221075,3300,LAGOS,Registered,Registered,Automatic
Ford,Escape,2013,Gray,Local Used,236879,2500,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2003,Black,Local Used,146018,1800,ENUGU,Registered,Registered,Automatic
Toyota,Corolla,2005,Red,Local Used,280163,1800,N/A,Registered,Imported,Automatic
Nissan,Pathfinder,2001,Silver,Local Used,138002,3500,IMO,Registered,Registered,Automatic
Honda,Accord,2009,Gray,Local Used,334670,3500,LAGOS,Registered,Imported,Automatic
Toyota,Highlander,2002,Silver,Local Used,413265,3000,N/A,Registered,Imported,Automatic
Hyundai,Accent,2008,White,Local Used,231524,1600,N/A,Registered,Registered,Manual
Honda,Pilot,2013,White,Local Used,103733,N/A,LAGOS,Registered,Registered,Automatic
BMW,3 Series,2006,Gray,Local Used,227040,3000,Abuja,Registered,Registered,Automatic
Opel,Zafira,2005,Blue,Local Used,154810,2200,Lagos,Registered,Registered,Automatic
Toyota,Venza,2013,White,Foreign Used,185524,3500,N/A,Imported,Imported,Automatic
Lexus,LS,2007,Green,Local Used,112376,4600,Lagos,Registered,Imported,Automatic
Mazda,CX-9,2012,Gray,Local Used,251972,3700,ABUJA,Registered,Imported,Automatic
Mercedes-Benz,A-Class,2007,Silver,Local Used,N/A,1700,OGUN,Registered,Imported,Manual
Lexus,RX 300,2002,Black,Local Used,349349,3000,OGUN,Registered,Imported,Automatic
Toyota,Corolla,2005,Gray,Local Used,473543,1800,ABUJA,Registered,Registered,Automatic
Mercedes-Benz,GLE-Class,2018,Black,Foreign Used,59640,3500,N/A,Imported,Imported,Automatic
Toyota,Camry,2007,Red,Local Used,256097,2400,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2005,Gold,Local Used,289430,1800,Lagos,Registered,Imported,Automatic
Audi,Q7,2007,Black,Local Used,257627,3000,LAGOS,Registered,Imported,Automatic
Mercedes-Benz,M Class,2009,Gray,Local Used,331805,3500,ABUJA,Registered,Imported,Automatic
Honda,Accord,2007,Gray,Local Used,167112,3000,N/A,Registered,Registered,Automatic
Toyota,Carina,1993,Black,Local Used,265201,2000,LAGOS,Registered,Registered,Manual
Hyundai,Santa Fe,2017,Gray,Local Used,107508,2400,Lagos,Registered,Imported,Automatic
Toyota,Corolla,2004,Silver,Local Used,133865,1800,LAGOS,Registered,Imported,Automatic
Honda,CR-V,2009,Black,Local Used,213521,2400,N/A,Registered,Registered,Automatic
Toyota,Camry,2007,Gray,Local Used,166355,2400,N/A,Registered,Registered,Automatic
Toyota,Corolla,2003,Blue,Local Used,392585,1800,N/A,Registered,Registered,Automatic
Toyota,Tacoma,2008,Silver,Local Used,467090,4000,N/A,Registered,Imported,Automatic
Toyota,Highlander,2008,Black,Local Used,102352,3500,N/A,Registered,Registered,Automatic
Lexus,RX 300,2000,Gold,Local Used,320781,3000,Lagos,Registered,Registered,Automatic
Mercedes-Benz,C350,2008,White,Local Used,N/A,3500,N/A,Registered,Registered,Automatic
Honda,Accord,2012,Black,Local Used,269644,N/A,N/A,Registered,Imported,Automatic
Lexus,RX,2010,White,Foreign Used,100348,3500,N/A,Imported,Imported,Automatic
Volkswagen,Passat,1998,Silver,Local Used,273313,2000,Lagos.,Registered,Registered,Automatic
Toyota,Corolla,2010,Gray,Local Used,372237,1800,FCT,Registered,Imported,Automatic
Hummer,H3,2007,Blue,Local Used,93214,3500,N/A,Registered,Imported,Automatic
Toyota,Highlander,2004,Silver,Local Used,318687,3300,N/A,Registered,Registered,Automatic
Toyota,Camry,2000,Black,Local Used,174979,2200,N/A,Registered,Registered,Automatic
Skoda,Rapid,2014,Gray,Local Used,98453,1600,Lagos,Registered,Registered,Automatic
Honda,Civic,2006,Gray,Local Used,371309,1800,N/A,Registered,Registered,Automatic
Toyota,Corolla,2010,Black,Local Used,236448,1800,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2005,Red,Local Used,465155,1800,N/A,Registered,Registered,Automatic
Kia,Rio,2014,Silver,Local Used,81911,1500,LAGOS,Registered,Registered,Automatic
Chevrolet,Cruze,2012,Teal,Foreign Used,290839,1400,N/A,Imported,Imported,Manual
Lexus,IS,2014,White,Foreign Used,205335,2500,N/A,Imported,Imported,Automatic
Honda,Pilot,2005,Black,Local Used,126585,3500,EDO,Registered,Imported,Automatic
Honda,Accord,2003,Gold,Local Used,259525,2500,Lagos,Registered,Registered,Automatic
Honda,Accord,2003,Blue,Local Used,411172,2400,Osun state,Registered,Imported,Automatic
Toyota,Camry,1998,Gold,Local Used,235421,2200,N/A,Registered,Registered,Automatic
Toyota,Land Cruiser Prado,2021,Black,Local Used,4365,2700,N/A,Registered,Imported,Automatic
Mercedes-Benz,E350,2010,Gray,Local Used,268214,3500,N/A,Registered,Registered,Automatic
Toyota,Camry,2001,Gold,Local Used,141989,3000,N/A,Registered,Registered,Automatic
Infiniti,FX35,2008,Blue,Local Used,456679,3500,N/A,Registered,Registered,Automatic
Lexus,RX 350,2015,Brown,Foreign Used,309702,3500,N/A,Imported,Imported,Automatic
Toyota,Corolla,2010,Silver,Foreign Used,244609,1800,N/A,Imported,Imported,Automatic
Ford,Edge,2013,Silver,Local Used,161962,3500,ABUJA,Registered,Imported,Automatic
Nissan,Almera,2013,Silver,Local Used,110418,2000,N/A,Registered,Imported,Automatic
Honda,Accord Crosstour,2012,Black,Local Used,123069,3500,N/A,Registered,Imported,Automatic
Toyota,Camry,2018,Gray,Local Used,108353,3500,ABUJA,Registered,Imported,Automatic
Toyota,RAV4,2002,Silver,Local Used,101575,2400,LAGOS,Registered,Registered,Automatic
Lexus,ES,2008,Gold,Local Used,95055,3500,LAGOS,Registered,Imported,Automatic
Mazda,323,1998,Red,Foreign Used,144787,1400,N/A,Imported,Imported,Automatic
Dodge,RAM,2013,Blue,Foreign Used,303611,5700,N/A,Imported,Imported,Automatic
Hyundai,Sonata,2015,Gray,Foreign Used,156942,2400,N/A,Imported,Imported,Automatic
Toyota,Carina,1992,Gray,Local Used,345213,2000,N/A,Registered,Registered,Automatic
Nissan,Pathfinder,2002,Black,Local Used,382215,3500,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2002,Green,Local Used,181535,2400,Lagos,Registered,Registered,Automatic
Toyota,4-Runner,2003,Gray,Local Used,196692,4000,N/A,Registered,Registered,Automatic
Toyota,RAV4,2008,Black,Local Used,198384,3500,LAGOS,Registered,Imported,Automatic
Lexus,RX 350,2009,Black,Foreign Used,364270,3500,N/A,Imported,Imported,Automatic
Acura,MDX,2008,Gray,Local Used,106889,3700,Abuja,Registered,Registered,Automatic
Toyota,Camry,1999,Gold,Local Used,197214,N/A,ABUJA,Registered,Registered,Automatic
Toyota,Camry,2009,Silver,Local Used,203316,2400,N/A,Registered,Imported,Automatic
Toyota,Sienna,2008,Gray,Local Used,167005,3500,N/A,Registered,Imported,Automatic
Toyota,Highlander,2001,Black,Local Used,258670,3000,ABUJA,Registered,Registered,Automatic
BMW,528i,2013,White,Foreign Used,271920,2000,N/A,Imported,Imported,Automatic
Lexus,ES,2009,Black,Local Used,259454,3500,ABUJA,Registered,Imported,Automatic
Toyota,Avalon,2008,Silver,Local Used,239078,3500,N/A,Registered,Registered,Automatic
Volkswagen,Sharan,2001,Red,Foreign Used,224245,1800,N/A,Imported,Imported,Manual
Toyota,Highlander,2013,Black,Local Used,53490,3500,N/A,Registered,Imported,Automatic
Toyota,Camry,2007,Red,Local Used,83772,2400,Lagos,Registered,Imported,Automatic
Honda,Pilot,2010,Black,Local Used,151098,3500,abuja,Registered,Imported,Automatic
Mercedes-Benz,C300,2015,Black,Local Used,100690,2000,Abuja,Registered,Registered,Automatic
Honda,Accord,2014,Black,Local Used,86998,3500,N/A,Registered,Imported,Automatic
Honda,CR-V,2002,Black,Local Used,234153,2800,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2008,Blue,Local Used,162746,1800,Lagos,Registered,Imported,Automatic
Honda,Accord,2022,Silver,Foreign Used,19347,1500,N/A,Imported,Imported,Automatic
Lexus,RX 400h,2007,Silver,Foreign Used,321433,3500,N/A,Imported,Imported,Automatic
Peugeot,406,2000,Silver,Local Used,999999,N/A,N/A,Registered,Registered,Automatic
Honda,Accord,2008,Blue,Local Used,143431,2400,Abuja,Registered,Registered,Automatic
Toyota,Camry,2004,Green,Local Used,388145,3000,DELTA,Registered,Imported,Automatic
Lexus,RX 350,2010,Black,Foreign Used,181914,3500,N/A,Imported,Imported,Automatic
Honda,Accord,1999,Silver,Local Used,238689,2000,LAGOS,Registered,Registered,Automatic
Mercedes-Benz,C300,2014,Black,Local Used,158952,3500,N/A,Registered,Imported,Automatic
Ford,Edge,2007,Gray,Local Used,389067,3500,N/A,Registered,Registered,Automatic
Lexus,IS,2019,Gray,Local Used,81926,N/A,N/A,Registered,Imported,Automatic
Lexus,GX,2012,Black,Local Used,122063,4600,Lagos,Registered,Imported,Automatic
Skoda,Octavia,2013,Blue,Local Used,116198,2000,Lagos,Registered,Registered,Automatic
Toyota,Camry,2004,Silver,Local Used,158244,2400,LAGOS,Registered,Registered,Automatic
Toyota,Matrix,2005,Gray,Local Used,284446,2500,N/A,Registered,Imported,Automatic
Toyota,Camry,2008,Gold,Local Used,253343,2400,LAGOS,Registered,Imported,Automatic
Acura,TSX,2009,Brown,Local Used,136399,2400,N/A,Registered,Registered,Automatic
Toyota,Venza,2010,Black,Foreign Used,162507,3500,N/A,Imported,Imported,Automatic
Land Rover,Lr4,2010,Black,Local Used,157670,5000,N/A,Registered,Imported,Automatic
Toyota,Camry,2004,Silver,Local Used,224443,2400,N/A,Registered,Imported,Automatic
Toyota,Corolla,2007,Blue,Local Used,159252,1800,N/A,Registered,Imported,Automatic
Toyota,Camry,2007,Red,Local Used,103820,2400,Lagos,Registered,Imported,Automatic
Lexus,RX 300,2000,Black,Local Used,340803,3000,LAGOS,Registered,Registered,Automatic
Acura,TL,2009,Black,Local Used,344430,3500,LAGOS,Registered,Registered,Automatic
Honda,Accord,2006,Black,Local Used,207728,2400,N/A,Registered,Registered,Automatic
Toyota,Highlander,2011,Blue,Local Used,240935,N/A,LAGOS,Registered,Imported,Automatic
Lexus,RX 330,2006,Black,Local Used,317123,3300,LAGOS,Registered,Imported,Automatic
Toyota,Avalon,2005,Gray,Local Used,225606,3500,FCT,Registered,Registered,Automatic
Nissan,Murano,2005,Red,Local Used,250562,3500,Nasarawa,Registered,Registered,Automatic
Mercedes-Benz,C300,2008,White,Local Used,332046,3000,ABUJA,Registered,Registered,Automatic
Toyota,Highlander,2012,Black,Foreign Used,144673,3500,N/A,Imported,Imported,Automatic
Toyota,Corolla,2008,Beige,Local Used,107280,1800,N/A,Registered,Imported,Automatic
Hyundai,Sonata,2013,Silver,Foreign Used,194088,2400,N/A,Imported,Imported,Automatic
Lexus,ES,2005,Silver,Local Used,408236,3300,LAGOS,Registered,Registered,Automatic
Mercedes-Benz,C300,2015,Black,Local Used,142615,2000,Lagos,Registered,Imported,Automatic
Toyota,Camry,2012,Silver,Foreign Used,213601,2500,N/A,Imported,Imported,Automatic
Lexus,RX 350,2012,Black,Local Used,225385,3500,Bayelsa,Registered,Imported,Automatic
Toyota,Sienna,2008,Black,Local Used,226519,3500,Abuja,Registered,Registered,Automatic
Ford,Edge,2017,Brown,Local Used,74040,2000,N/A,Registered,Registered,Automatic
Toyota,Matrix,2005,Silver,Local Used,155682,1800,N/A,Registered,Registered,Automatic
Toyota,RAV4,2020,Gray,Foreign Used,380576,2500,N/A,Imported,Imported,Automatic
Toyota,HiAce,2004,White,Local Used,85680,2500,LAGOS,Registered,Imported,Manual
Toyota,Corolla,2004,Gray,Local Used,413342,1800,LAGOS,Registered,Imported,Automatic
Peugeot,207,2008,Silver,Foreign Used,179007,1400,N/A,Imported,Imported,Manual
Toyota,Camry,2004,Gold,Local Used,262301,2400,N/A,Registered,Registered,Automatic
Toyota,Sienna,2007,Gold,Local Used,98141,3500,N/A,Registered,Imported,Automatic
Honda,Accord,2003,Gold,Local Used,349159,2400,Lagos State,Registered,Imported,Automatic
Toyota,Camry,1999,Gold,Local Used,241323,2200,ABUJA,Registered,Registered,Automatic
Nissan,Altima,2011,Blue,Local Used,141377,2500,N/A,Registered,Imported,CVT
Lexus,LS,2007,Black,Local Used,117659,4500,ABUJA,Registered,Registered,Automatic
Toyota,Highlander,2017,Gray,Local Used,92987,3500,N/A,Registered,Imported,Automatic
Toyota,Camry,2003,Blue,Local Used,222825,2400,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2003,Black,Local Used,232351,2400,N/A,Registered,Registered,Automatic
Toyota,Land Cruiser,2018,Black,Local Used,176858,4600,LAGOS,Registered,Brand new,Automatic
Toyota,Land Cruiser,2008,Black,Local Used,91495,4000,N/A,Registered,Imported,Automatic
Chevrolet,Camaro,2013,Black,Local Used,126843,3600,N/A,Registered,Imported,Automatic
Volkswagen,Golf,2008,Silver,Local Used,171990,2500,ENUGU,Registered,Imported,Automatic
Nissan,Rogue,2001,Black,Local Used,199872,2500,N/A,Registered,Registered,Automatic
Toyota,Camry,2007,Gold,Local Used,242569,2400,RIVERS,Registered,Imported,Automatic
Hyundai,Ix35,2011,Blue,Local Used,114787,2000,Lagos,Registered,Registered,Automatic
Toyota,Matrix,2004,Silver,Local Used,235114,1800,Lagos,Registered,Imported,Automatic
Toyota,Highlander,2020,Silver,Foreign Used,92036,3500,N/A,Imported,Imported,Automatic
Ford,Edge,2007,Gray,Local Used,87834,3500,AKWA IBOM,Registered,Registered,Automatic
Honda,Accord,2003,Black,Local Used,N/A,3000,N/A,Registered,Imported,Automatic
Nissan,Pathfinder,2006,Gold,Local Used,245326,4000,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2007,Black,Local Used,224302,1800,AKWA IBOM,Registered,Registered,Automatic
Honda,Accord Crosstour,2010,Red,Local Used,103179,3500,N/A,Registered,Registered,Automatic
Toyota,Fortuner,2015,Black,Local Used,82363,2700,Lagos,Registered,Imported,Automatic
Toyota,RAV4,2002,Blue,Local Used,260148,2000,Abuja,Registered,Registered,Automatic
Land Rover,Range Rover,2006,White,Local Used,N/A,N/A,LAGOS,Registered,Imported,CVT
Toyota,4-Runner,2005,Blue,Local Used,254431,3500,LAGOS,Registered,Imported,Automatic
Toyota,Camry,2002,Gold,Local Used,293519,2400,LAGOS,Registered,Registered,Automatic
Mercedes-Benz,C230,2009,Gray,Local Used,127527,2500,Kebbi state,Registered,Registered,Automatic
Lexus,RX 350,2010,Gray,Foreign Used,245135,3500,N/A,Imported,Imported,Automatic
Toyota,Camry,2003,Blue,Local Used,360582,N/A,IMO,Registered,Registered,Automatic
Toyota,Camry,2008,Blue,Foreign Used,253294,2400,N/A,Imported,Imported,Automatic
Land Rover,Range Rover Vogue,2014,White,Local Used,67229,2200,LAGOS,Registered,Imported,Automatic
Ford,Mustang,2018,Gray,Foreign Used,38619,2300,N/A,Imported,Imported,Automatic
Lexus,RX,2013,Black,Foreign Used,282070,3500,N/A,Imported,Imported,Automatic
Toyota,Highlander,2010,Black,Local Used,281777,3500,N/A,Registered,Registered,Automatic
Honda,Pilot,2003,Gold,Local Used,115694,3500,RIVERS,Registered,Registered,Automatic
Toyota,Sienna,2005,Red,Local Used,350772,3300,Lagos,Registered,Registered,Automatic
Toyota,Camry,2003,Black,Local Used,477983,2400,Lagos,Registered,Registered,Automatic
Toyota,Corolla,2017,Black,Foreign Used,75639,1800,N/A,Imported,Imported,CVT
Lexus,RX 350,2017,Gray,Local Used,44029,3500,LAGOS,Registered,Imported,Automatic
Honda,Accord,2006,Silver,Local Used,106916,2400,ABUJA,Registered,Registered,Manual
Toyota,RAV4,2007,Black,Local Used,129662,2400,Lagos,Registered,Imported,Automatic
Lexus,ES,2002,Beige,Local Used,160888,3000,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2006,Blue,Local Used,482800,1800,Lagos,Registered,Registered,Automatic
Toyota,Corolla,2008,Black,Local Used,142191,1400,DELTA,Registered,Registered,Manual
Nissan,Maxima,2005,Black,Local Used,110525,3500,LAGOS,Registered,Registered,Automatic
Jeep,Wrangler,2014,Black,Local Used,91384,3600,Lagos,Registered,Imported,Automatic
Nissan,Primera,1998,Silver,Local Used,577304,2000,Oyo State,Registered,Registered,Manual
Toyota,RAV4,2001,Blue,Local Used,200747,1800,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2007,Blue,Foreign Used,304236,2400,N/A,Imported,Imported,Automatic
Kia,Sportage,2013,Black,Local Used,128296,2000,N/A,Registered,Brand new,Automatic
Peugeot,508,2018,Black,Local Used,88855,N/A,Abuja,Registered,Registered,Automatic
Lexus,RX,2000,Brown,Local Used,129622,3000,AKWA IBOM,Registered,Registered,Automatic
Mercedes-Benz,CLK,2003,Black,Local Used,125190,5000,ABUJA,Registered,Imported,Automatic
Mercedes-Benz,GLA-Class,2017,Black,Local Used,34800,4600,Lagos,Registered,Imported,Automatic
Toyota,Land Cruiser Prado,2013,Black,Local Used,248027,2500,N/A,Registered,Brand new,Automatic
Lexus,RX,2006,Black,Local Used,N/A,3300,N/A,Registered,Registered,Automatic
Lexus,RX 300,2003,Gray,Local Used,98868,3000,Lagos,Registered,Registered,Automatic
GMC,Terrain,2013,Black,Local Used,364193,3600,ABUJA,Registered,Imported,Automatic
Toyota,Venza,2010,White,Local Used,236601,3500,Taraba,Registered,Registered,Automatic
BMW,5 Series,2009,Silver,Foreign Used,173893,3000,N/A,Imported,Imported,Automatic
Acura,MDX,2008,White,Local Used,180342,3700,N/A,Registered,Registered,Automatic
Honda,Accord,2008,Silver,Local Used,223888,N/A,LAGOS,Registered,Imported,Automatic
Lexus,RX 350,2008,Gold,Local Used,215350,3500,N/A,Registered,Registered,Automatic
Toyota,Corolla,2009,White,Local Used,266965,1800,Abuja,Registered,Registered,Automatic
Mercedes-Benz,S-Class,2015,Black,Local Used,123334,4700,Abuja,Registered,Imported,Automatic
Lexus,RX 300,2000,Black,Local Used,548424,3000,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2008,Gold,Local Used,196164,2400,Abuja,Registered,Registered,Automatic
Toyota,Corolla,2009,Blue,Foreign Used,48751,1900,N/A,Imported,Imported,Automatic
Toyota,Highlander,2022,White,Foreign Used,15523,3500,N/A,Imported,Imported,Automatic
Toyota,RAV4,2018,Red,Foreign Used,119765,2500,N/A,Imported,Imported,Automatic
Toyota,RAV4,2015,Black,Foreign Used,47768,2500,N/A,Imported,Imported,Automatic
Honda,Accord,2001,Silver,Local Used,N/A,2300,Kano,Registered,Registered,Automatic
Hyundai,Elantra,2008,White,Local Used,154894,2000,ABUJA,Registered,Registered,Automatic
Hyundai,Elantra,2008,White,Local Used,240470,2000,N/A,Registered,Registered,Automatic
Honda,Accord,2009,Black,Foreign Used,127467,3500,N/A,Imported,Imported,Automatic
Toyota,Camry,2010,Gray,Local Used,75057,2500,N/A,Registered,Imported,Automatic
Infiniti,QX4,2002,Black,Local Used,209090,3500,ABUJA,Registered,Registered,Automatic
Mercedes-Benz,C300,2015,Silver,Local Used,176858,2000,N/A,Registered,Imported,Automatic
Honda,Crosstour,2011,Black,Local Used,162683,3500,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2006,Gold,Local Used,301370,2500,Lagos,Registered,Registered,Automatic
Honda,Accord,2003,Black,Local Used,483437,2400,N/A,Registered,Imported,Automatic
BMW,325i,2014,Black,Local Used,175158,3000,N/A,Registered,Imported,Automatic
Toyota,Venza,2011,Black,Foreign Used,102501,3000,N/A,Imported,Imported,Automatic
Toyota,Sienna,2013,Gray,Local Used,80026,3500,Lagos,Registered,Imported,Automatic
Mercedes-Benz,GL-Class,2013,Black,Local Used,145630,4700,Lagos,Registered,Imported,Automatic
Mercedes-Benz,GLC-Class,2018,Silver,Foreign Used,78865,2000,N/A,Imported,Imported,Automatic
Mercedes-Benz,C300,2008,Gray,Local Used,281743,3000,ABUJA,Registered,Imported,Automatic
Toyota,Corolla,2007,Gray,Local Used,19039,1800,Lagos,Registered,Registered,Automatic
Honda,Accord,2003,Silver,Local Used,14588,2400,Adamawa,Registered,Registered,Automatic
Honda,Accord,2010,Black,Local Used,N/A,2400,NASARAWA,Registered,Registered,Automatic
Lexus,RX 350,2017,Black,Local Used,107908,3500,ABUJA,Registered,Imported,Automatic
Lexus,RX 300,1999,Silver,Local Used,294968,3000,ENUGU,Registered,Registered,Automatic
Lexus,RX,2001,Blue,Local Used,445651,3000,LAGOS,Registered,Imported,Automatic
Honda,Accord,2008,Blue,Local Used,N/A,2400,N/A,Registered,Imported,Automatic
Mazda,3,2010,Black,Local Used,272139,2000,ABUJA,Registered,Registered,Automatic
Mercedes-Benz,M Class,2010,Silver,Local Used,320981,3500,LAGOS,Registered,Imported,Automatic
Toyota,Yaris,2008,Black,Local Used,N/A,1300,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2010,Silver,Local Used,280747,2500,FCT,Registered,Imported,Automatic
Lexus,ES,2007,Blue,Local Used,233285,3500,N/A,Registered,Registered,Automatic
Lincoln,MKZ,2017,Red,Local Used,176588,2000,Abuja,Registered,Imported,Automatic
Hyundai,Elantra,2009,Black,Local Used,179097,2000,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2009,White,Local Used,121340,1800,Kwara,Registered,Imported,Automatic
Toyota,Sienna,2011,Gray,Local Used,50656,3500,LAGOS,Registered,Imported,Automatic
Hyundai,Elantra,2018,Red,Foreign Used,92807,1600,N/A,Imported,Imported,Automatic
Toyota,Highlander,2015,Gold,Local Used,59082,3500,N/A,Registered,Imported,Automatic
Nissan,Pathfinder,2006,Gray,Local Used,197888,4000,Abuja,Registered,Registered,Automatic
Toyota,Camry,2003,Black,Local Used,237356,2400,FCT,Registered,Imported,Automatic
Nissan,NV3500,2014,White,Local Used,267194,2700,LAGOS,Registered,Registered,Manual
Mercedes-Benz,M Class,2008,Black,Local Used,331295,3500,FCT,Registered,Registered,Automatic
Toyota,Avalon,2014,Burgandy,Foreign Used,125494,3500,N/A,Imported,Imported,Automatic
Toyota,Sienna,2006,Gray,Foreign Used,312826,3300,N/A,Imported,Imported,Automatic
Toyota,Camry,2006,Green,Local Used,268974,2400,N/A,Registered,Imported,Automatic
Toyota,Camry,2003,Gold,Local Used,176014,2400,ABUJA,Registered,Imported,Automatic
