amount,name,region,condition,mileage,image_url,details_url
4074000,Honda Accord 2008 Blue,"Abuja (FCT), Kubwa",Local Used,143431 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162851760_MTgwLTEzNS1hZWZkNDc0YzZiLTI.jpg,https://www.cars45.com/jEY4wdZLLoJkWfhmIlJlykA4WNMRxLp
4680000,Toyota Camry 2004 Green,"Delta State, Oshimili South",Local Used,388145 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162864171_MTgwLTEzNS0xNWIwZTNiNjEw.jpg,https://www.cars45.com/jEY4wdZXIivFKSCTqDhpKH8xAremI6l
24960000,Lexus RX 350 2010 Black,"Lagos State, Ikeja",Foreign Used,181914 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162862231_MTgwLTEzNS0xNWNlNjdkMWUx.jpg,https://www.cars45.com/jEY4wdZF3dIHwz6APU1LMizZPC5mFjV
1575000,Honda Accord 1999 Silver,"Lagos State, Magodo",Local Used,238689 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162762041_MTgwLTEzNS0xYzI4YjNhNmYy.jpg,https://www.cars45.com/jEY4wdZgWEcE81GwqbdcKmGiExtTnJh
13520000,Mercedes-Benz C300 2014 Black,"Abuja (FCT), Gwarinpa",Local Used,158952 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162766369_MTgwLTEzNS0xMWE3NTI1YTZl.jpg,https://www.cars45.com/jEY4wdZXlthGTrp8xp77rBmaBmyRUMM
4074000,Ford Edge 2007 Gray,"Lagos State, Ikeja",Local Used,389067 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162691245_MTgwLTEzNS05ZDU0YmY3MTI3LTI.jpg,https://www.cars45.com/jEY4wdZxdDLYwZFs64J4D3Pv0YigjrR
22050000,Lexus IS 2019 Gray,"Rivers State, Port-Harcourt",Local Used,81926 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162860338_MTgwLTgxLWRiMGE1NmM3OTItMw.jpg,https://www.cars45.com/jlCs49QC8RbM7Zn3xnQc8vbe4bgLYj
34320000,Lexus GX 2012 Black,"Lagos State, Amuwo-Odofin",Local Used,122063 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162841599_MTgwLTEzNS1mMDVjMzRhODJj.jpg,https://www.cars45.com/jEY4wdZn0HrA7ZoIFsoe9WDUZreTYmg
2625000,Skoda Octavia 2013 Blue,"Oyo State, Ibadan",Local Used,116198 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162847954_MTgwLTEzNS0yNjA1YjVmZmUzLTE.jpg,https://www.cars45.com/jEY4wdZ9IvnRCVocaTjLwx696o2xHFK
4160000,Toyota Camry 2004 Silver,"Oyo State, Ibadan",Local Used,158244 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162851671_MTgwLTEzNS03ODdjYmY1ZTRh.jpg,https://www.cars45.com/jEY4wdZ9xtWDaYutQTXPBfm6tsG6Xag
4328625,Toyota Matrix 2005 Gray,"Lagos State, Surulere",Local Used,284446 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162844328_MTgwLTEzNS00MTdhNjA3NWYyLTE.jpg,https://www.cars45.com/jEY4wdZW96HXhk9PffAuKD97vd5XZP1
5460000,Toyota Camry 2008 Gold,"Lagos State, Amuwo-Odofin",Local Used,253343 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162846970_MTgwLTEzNS05ZTA5MzNjMzUxLTE.jpg,https://www.cars45.com/jEY4wdZPNZn0nvKgXO3XLJDmWqMUBjb
5355000,Acura TSX 2009 Brown,"Lagos State, Alimosho",Local Used,136399 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162840855_MTgwLTEzNS0wODI3ZjU2YzA4LTE.jpg,https://www.cars45.com/jEY4wdZHjqCVmwzTHiBbYaOcgqXfCDV
20280000,Toyota Venza 2010 Black,"Lagos State, Ikotun/Igando",Foreign Used,162507 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162752404_MTgwLTEzNS05YThjODA1M2Qz.jpg,https://www.cars45.com/jEY4wdZcc5eMw4JznvmIFbKP6falwDy
8085000,Land Rover Lr4 2010 Black,"Lagos State, Surulere",Local Used,157670 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162759242_MTgwLTEzNS0xYWJjYmM4YzE1LTE.jpg,https://www.cars45.com/jEY4wdZUccUCODTIQZuV3kNvHXK1iYg
4368000,Toyota Camry 2004 Silver,"Abuja (FCT), Gudu",Local Used,224443 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162701960_MTgwLTEzNi01ODdlYWRmMjNjLTE.jpg,https://www.cars45.com/jEY4we00gizXXjV9gyz6URAPaKnV15f
4200000,Toyota Corolla 2007 Blue,"Abuja (FCT), Gudu",Local Used,159252 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162699892_MTgwLTEzNi1mMjk4MjlkZDdjLTE.jpg,https://www.cars45.com/jEY4wdZVUhWzeIAfRjlgcV17lTiqXL8
4410000,Toyota Camry 2007 Red,"Lagos State, Lekki",Local Used,103820 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162846673_MTgwLTEzNi01OTYwNDk1NGM5LTQ.jpg,https://www.cars45.com/jEY4wdZKSoiasZiR29cGd6di97Yh59K
3360000,Lexus RX 300 2000 Black,"Lagos State, Ojodu",Local Used,340803 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162752042_MTgwLTEzNS0yZWM4YzIxZDNhLTE.jpg,https://www.cars45.com/jEY4wdZOwTA7RwDfU8OtiaGd7KXJlOr
11550000,Acura TL 2009 Black,"Lagos State, Yaba",Local Used,344430 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162843481_MTgwLTEzNS1kYmU0YjkwY2M5.jpg,https://www.cars45.com/jEY4wdZANIBrnv9CpjFsxdNQAukgjRA
3432000,Honda Accord 2006 Black,"Lagos State, Ojodu",Local Used,207728 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162612731_MTgwLTEzNS04YTJhZmZhZDliLTE.jpg,https://www.cars45.com/jEY4wdZMHOAo8BpHykheCwV5JfSeBgb
16120000,Toyota Highlander 2011 Blue,"Delta State, Oshimili South",Local Used,240935 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162842198_MTgwLTEzNS04MDhiMGVhN2Zj.jpg,https://www.cars45.com/jEY4wdZlXGAnf07h8BGP7CDfrnilAiR
12064000,Lexus RX 330 2006 Black,"Lagos State, Amuwo-Odofin",Local Used,317123 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162757353_MTgwLTEzNS1hNmZhOTIzMmEw.jpg,https://www.cars45.com/jEY4wdZX5J1cjtyck7M04HFRIbYHcfJ
4618687,Toyota Avalon Limited 2005 Gray,"Abuja (FCT), Lugbe District",Local Used,225606 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162837326_MTgwLTEzNS0zYTU3NzBmZmYzLTE.jpg,https://www.cars45.com/jEY4wdZtBSWTaw6GbudSt5G2lVpzePR
3465000,Nissan Murano SE AWD 2005 Red,"Abuja (FCT), Lugbe District",Local Used,250562 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162749537_MTgwLTEzNS1iOGQ2MWFjMmQ0LTE.jpg,https://www.cars45.com/jEY4wdZgxt2UVVBlXrh0EvER0GyGqFQ
7140000,Mercedes-Benz C300 2008 White,"Abia State, Aba North",Local Used,332046 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162752502_MTgwLTEzNS0yMDFkYWZlN2UyLTE.jpg,https://www.cars45.com/jEY4wdZvl6Iu5dZaACjzMGoXbHjtfFx
19760000,Toyota Highlander 2012 Black,"Lagos State, Kosofe",Foreign Used,144673 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162639333_MTgwLTEzNS04ODUwYzI1M2Jh.jpg,https://www.cars45.com/jEY4wdZxhaQT44z4zvqHOFK9UjkPetJ
5775000,Toyota Corolla 2008 Beige,"Lagos State, Lekki",Local Used,107280 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162701529_MTgwLTEzNS1kNmNhNWMwMDcw.jpg,https://www.cars45.com/jEY4wdZgMpIC2Mn7SMLv3SL3xkUtymo
12500000,Hyundai Sonata 2013 Silver,"Abuja (FCT), Gudu",Foreign Used,194088 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162687176_MTgwLTEzNi0zYzI3NGZjYzhj.jpg,https://www.cars45.com/jlCs49QEyL0K3eXyf1RtpjB8QBdCCE
7280000,Lexus ES 2005 Silver,"Ogun State, Abeokuta North",Local Used,408236 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162624344_MTgwLTEzNS0yZTVlZThkZWIx.jpg,https://www.cars45.com/jEY4wdZFWjrewVZy3uDNN2UDhf0luo9
26000000,Mercedes-Benz C300 2015 Black,"Lagos State, Lekki",Local Used,142615 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162686100_MTgwLTEzNS1hYjYwNGMzNGJh.jpg,https://www.cars45.com/jEY4wdZvodrxpWPnH6HyTpMcfAp2k12
15600000,Toyota Camry 2012 Silver,"Lagos State, Lekki",Foreign Used,213601 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162684905_MTgwLTEzNS01MjM0YzFlNTAz.jpg,https://www.cars45.com/jEY4wdZiryKVqR8pX2Zx1TwdsHYxbIU
22880000,Lexus RX 350 2012 Black,"Lagos State, Abule Egba",Local Used,225385 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162707750_MTgwLTEzNS1kYmU5NjZiZWQ4.jpg,https://www.cars45.com/jEY4wdZd8ovGT7A1WGf06mvbfvsKs02
5250000,Toyota Sienna 2008 Black,"Lagos State, Abule Egba",Local Used,226519 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162757128_MTgwLTEzNS0zY2JmZmI3YTBkLTE.jpg,https://www.cars45.com/jEY4wdZXG7eEROl9ekOu4WL84m5lxSr
18375000,Ford Edge 2017 Brown,"Lagos State, Surulere",Local Used,74040 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162747186_MTgwLTEzNS1lZmQzNjM4ZDM2LTE.jpg,https://www.cars45.com/jEY4wdZQoFeQEMkA6etcVynteUGTOIS
3990000,Toyota Matrix 2005 Silver,"Rivers State, Port-Harcourt",Local Used,155682 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162752232_MTgwLTEzNS1lYjY2MmNkOWQ5LTE.jpg,https://www.cars45.com/jEY4wdZwO34iB4kpAaUWhK7ilbb19CA
42000000,Toyota RAV4 2020 Gray,"Lagos State, Alimosho",Foreign Used,380576 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162743720_MTgwLTEzNS05MjAxZDIyYjlmLTE.jpg,https://www.cars45.com/jEY4wdZSwyt84NIv5YaEwWZ7008aYu8
4725000,Toyota HiAce 2004 White,"Lagos State, Lekki",Local Used,85680 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162749352_MTgwLTEzNS1hM2ZkMWRlOGE1LTU.jpg,https://www.cars45.com/jEY4wdZBP4EOGR1IsDeMnApfo0Ncu94
5408000,Toyota Corolla 2004 Gray,"Lagos State, Amuwo-Odofin",Local Used,413342 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162673273_MTgwLTEzNS00MjA3OGUzY2Ey.jpg,https://www.cars45.com/jEY4wdZA9E1wxhpGXqnd0frKicI1ZVH
6825000,Peugeot 207 2008 Silver,"Abuja (FCT), Jabi",Foreign Used,179007 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162754246_MTgwLTEzNS0wYmU1ZGFjM2I4LTE.jpg,https://www.cars45.com/jEY4wdZLi4ULAFxz0FO2k9KGlYRjLPe
3441198,Toyota Camry 2004 Gold,"Abuja (FCT), Garki 2",Local Used,262301 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162637204_MTgwLTEzNS1kMzAwYWU5ODI4LTE.jpg,https://www.cars45.com/jEY4wdZuknNd54YyzHy8e6uU3gGxHKV
8112000,Toyota Sienna 2007 Gold,"Abuja (FCT), Karu",Local Used,98141 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162750732_MTgwLTEzNS1lZDU3MTkyNjcz.jpg,https://www.cars45.com/jEY4wdZrgbUnhIA79tmCt8afA3UrDgw
2625000,Honda Accord 2003 Gold,"Lagos State, Alimosho",Local Used,349159 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162689680_MTgwLTEzNS0zYzY3MDRhMWNh.jpg,https://www.cars45.com/jEY4wdZdkrPBbDDJo6GQjdIRqZYXhRZ
2205000,Toyota Camry 1999 Gold,"Abuja (FCT), Garki 2",Local Used,241323 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162750629_MTgwLTEzNS0wNWFiZmI3MWMxLTE.jpg,https://www.cars45.com/jEY4wdZpyt2lz3oT8mZeA2lE4vyZ52M
8400000,Nissan Altima 2011 Blue,"Rivers State, Port-Harcourt",Local Used,141377 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162749704_MTgwLTEzNi1jODg4NzA3Yjk1LTE.jpg,https://www.cars45.com/jEY4wdZTftnIF2wfZyCsoC1lbQvZEI3
7875000,Lexus LS 2007 Black,"Enugu State, Enugu",Local Used,117659 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162729308_MTgwLTEwMS1hOTUzNWM2NzRhLTE.jpg,https://www.cars45.com/jEY4wdZWuj1xojp9DuUudGa2Aw5EjRj
25725000,Toyota Highlander 2017 Gray,"Lagos State, Magodo",Local Used,92987 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162751262_MTgwLTEzNS0zZmJlYzE3YWYz.jpg,https://www.cars45.com/jEY4wdZG8qxoQ23s48JjHGIJve2TqBm
3885000,Toyota Camry 2003 Blue,"Lagos State, Ikotun/Igando",Local Used,222825 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162749787_MTgwLTEzNS0yYTk2OTA4OWI0.jpg,https://www.cars45.com/jEY4wdZX3vTvrOu80RzFaewErEBigwK
4160000,Toyota Camry 2003 Black,"Rivers State, Port-Harcourt",Local Used,232351 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162628382_MTgwLTEzNi1mZmZlNDMyNGZm.jpg,https://www.cars45.com/jEY4wdZnscsXJchrLOvuXaYwmeCaenf
62454000,Toyota Land Cruiser 4.6 V8 GX 2018 Black,"Lagos State, Ajah",Local Used,176858 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162700369_MTgwLTEzNS1kZTE4NTEyZWQ3LTE.jpg,https://www.cars45.com/jEY4we00iMMHLOU3zQXGkUsuuE6kKHw
26250000,Toyota Land Cruiser 2008 Black,"Abuja (FCT), Central Business District",Local Used,91495 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162695621_MTgwLTEzNi05YzEzMWJjODU0LTE.jpg,https://www.cars45.com/jEY4we01sxBwJwjJ0TkUQDaZLy1Wzms
46800000,Chevrolet Camaro 2013 Black,"Lagos State, Lekki",Local Used,126843 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162557963_MTgwLTEzNS0yMzZlNjk2OTk1.jpg,https://www.cars45.com/jEY4wdZwUJpBJlZSekqG6LpRUaugFel
6825000,Volkswagen Golf 2008 Silver,"Lagos State, Ikeja",Local Used,171990 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162542570_MTgwLTEzNS0xYjE5ZWZhMTMx.jpg,https://www.cars45.com/jEY4wdZTZIMXfWQnkmUrUOybrmyLEK4
5250000,Nissan Rogue 2001 Black,"Lagos State, Ikeja",Local Used,199872 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162693418_MTgwLTEzNS0xNjRmMjhkNDcyLTE.jpg,https://www.cars45.com/jEY4wdZXbBi7Z7YOuAROO3fkwXi3P5x
6760000,Toyota Camry 2007 Gold,"Rivers State, Port-Harcourt",Local Used,242569 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162699751_MTgwLTgxLTg1YWE2NDg1NTg.jpg,https://www.cars45.com/jEY4wdZIn3JQpQw8Oeoln9S6EkDvirb
8400000,Hyundai Ix35 2011 Blue,"Lagos State, Ogudu",Local Used,114787 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162690659_MTgwLTE1Mi02ZjFhN2Y4NjFmLTE.jpg,https://www.cars45.com/jEY4wdZVNIhnqy0y2FdlSTQ0lmm9iYm
3780000,Toyota Matrix 2004 Silver,"Lagos State, Amuwo-Odofin",Local Used,235114 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162635600_MTgwLTEzNS05YTFhNTI0ZDA4.jpg,https://www.cars45.com/jEY4wdZac32qqaXDsSBS1mKPa4RxRMp
64480000,Toyota Highlander 2020 Silver,"Lagos State, Magodo",Foreign Used,92036 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162687713_MTgwLTEzNS04YmY2MjE0NGNm.jpg,https://www.cars45.com/jEY4wdZHNlYL511oszFoaOP8irGXhrF
3570000,Ford Edge SE 4dr FWD (3.5L 6cyl 6A) 2007 Gray,"Akwa Ibom State, Uyo",Local Used,87834 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162691973_MTgwLTEzNS1lNGEzMDM5NWIyLTE.jpg,https://www.cars45.com/jEY4wdZnYhRZm66rmvfjVrHOAPRWjTu
2268000,Honda Accord 2003 Black,"Lagos State, Lekki",Local Used,Local Used,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162692659_MTgwLTEzNi03NWQ0MTVkODgyLTE.jpg,https://www.cars45.com/jEY4wdZm5GYCgAyb45F1Yea4RhNf0zJ
4200000,Nissan Pathfinder 2006 Gold,"Lagos State, Alimosho",Local Used,245326 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162634794_MTgwLTEzNS1iMzhiODQ0Y2E1LTE.jpg,https://www.cars45.com/jEY4wdZEo7AqqJtBE5tAuUaJatvZuPg
3150000,Toyota Corolla 1.4 VVT-i 2007 Black,"Akwa Ibom State, Uyo",Local Used,224302 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162687391_MTgwLTgzLTU2NjNmZjkxY2MtMQ.jpg,https://www.cars45.com/jEY4wdZiHI9VZnDlIMNuyafnCPlcMhm
6300000,Honda Accord Crosstour 2010 Red,"Lagos State, Isolo",Local Used,103179 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162685556_MTgwLTEzNS04MDNkNTBlYmU1LTE.jpg,https://www.cars45.com/jEY4wdZM4MDHaiW3boPLRpbhWdFqhn2
31500000,Toyota Fortuner 2015 Black,"Oyo State, Ibadan",Local Used,82363 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162690119_MTgwLTEzNS00ODBiMzc2MjdjLTE.jpg,https://www.cars45.com/jEY4wdZeWdgUs5qCkPyuJvVE0WhgHRG
3528000,Toyota RAV4 2002 Blue,"Abuja (FCT), Lugbe District",Local Used,260148 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162683636_MTgwLTEzNi1iNzVjNGE1ODUwLTI.jpg,https://www.cars45.com/jEY4wdZfvZqf5h1keT9LIJzPRAs0KdL
16800000,Land Rover Range Rover Supercharged 2006 White,"Rivers State, Port-Harcourt",Local Used,Local Used,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162645670_MTgwLTEzNS1kNDFjNmE5OTYzLTE.jpg,https://www.cars45.com/jEY4wdZXef0KUpHch94A8BWhwgFEOud
8528000,Toyota 4-Runner 2005 Blue,"Lagos State, Amuwo-Odofin",Local Used,254431 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162638383_MTgwLTEzNS1mNThhMzQ4MDRi.jpg,https://www.cars45.com/jEY4wdZs17msmRxa4QXNKNXxJjKnhUF
3640000,Toyota Camry 2002 Gold,"Lagos State, Alimosho",Local Used,293519 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162617328_MTgwLTEzNS04YzM2OGYwY2Vl.jpg,https://www.cars45.com/jEY4wdZZOrHQlqilNjqebHSfhQxalor
5250000,Mercedes-Benz C230 2009 Gray,"Oyo State, Ibadan",Local Used,127527 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162682185_MTgwLTEzNS04ZjNjM2JlMjA5LTE.jpg,https://www.cars45.com/jEY4wdZPIl4qdrZEv5XYoWJpmLNXnnW
19425000,Lexus RX 350 2010 Gray,"Lagos State, Isolo",Foreign Used,245135 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162622558_MTgwLTEzNS04ODk1ODVkZGZjLTE.jpg,https://www.cars45.com/jEY4wdZVDiKLqNxkEqOGGoCfBttj1WE
4576000,Toyota Camry 2003 Blue,"Imo State, Owerri",Local Used,360582 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162625912_MTgwLTEzNS02Y2U1ZTA5OTA5.jpg,https://www.cars45.com/jEY4wdZeTKXnOWaDLbwuGjlGBoybfJl
10920000,Toyota Camry 2008 Blue,"Lagos State, Amuwo-Odofin",Foreign Used,253294 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162681380_MTgwLTEzNS1kOWFlZDgxMGJj.jpg,https://www.cars45.com/jEY4wdZq1o7TYksXuyvGWZfdgSk5ksS
10290000,Land Rover Range Rover Vogue 2014 White,"Lagos State, Ojodu",Local Used,67229 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162681303_MTgwLTEzNS0yM2ZjODQ1ZTJhLTc.jpg,https://www.cars45.com/jEY4wdZkI4p88FaVNCSed1qsleffups
47250000,Ford Mustang 2018 Gray,"Lagos State, Amuwo-Odofin",Foreign Used,38619 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162638429_MTgwLTEzNS05OWJkMmM2ODEzLTE.jpg,https://www.cars45.com/jEY4wdZdo2SH4sDwtXlluUDXzn213fT
27040000,Lexus RX 350 FWD 2013 Black,"Lagos State, Isolo",Foreign Used,282070 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162629395_MTgwLTEzNS00ZWFmZGNlYjJm.jpg,https://www.cars45.com/jEY4wdZabtz3GZQr6e5ACORVvTzgx0v
13520000,Toyota Highlander 2010 Black,"Abuja (FCT), Asokoro",Local Used,281777 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162620792_MTgwLTEzNi0yODgwMDdlNGQy.jpg,https://www.cars45.com/jEY4wdZOY5Oxso7JYEehAzXDjAwmvNv
2730000,Honda Pilot 2003 Gold,"Rivers State, Port-Harcourt",Local Used,115694 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162539991_MTgwLTgxLWU1OTRjYmY0ZjktMg.jpg,https://www.cars45.com/jEY4wdZQQHrE9G3YX7XIj2ZmK4U5CyF
4515000,Toyota Sienna 2005 Red,"Lagos State, Ikeja",Local Used,350772 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162634406_MTgwLTE4MC1lYjYxOTA0ZGFhLTM.jpg,https://www.cars45.com/jEY4wdZz5udUw8ocW9x11aFSvmmljJY
3990000,Toyota Camry 2003 Black,"Lagos State, Ikorodu",Local Used,477983 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162677408_MTgwLTE4MC1jOTJmNWEzMDc2LTE.jpg,https://www.cars45.com/jEY4wdZXQhqxR0lCDrilL0eJtVmu1AA
17325000,Toyota Corolla 2017 Black,"Rivers State, Port-Harcourt",Foreign Used,75639 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162644525_MTgwLTEzNS03ZmE2NDdiY2MzLTE.jpg,https://www.cars45.com/jEY4wdZPaeI1sRYjyLnUC8bwUGO0id8
44720000,Lexus RX 350 2017 Gray,"Lagos State, Lekki",Local Used,44029 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/162637850_MTgwLTEzNS1hMjE3NjFkOWNj.jpg,https://www.cars45.com/jEY4wdZPkdv0PYUuoy2yBB60cnpNibt
